,Name,Street Address,Postal Code,Parking Rates
137,Pan Pacific Orchard,10 Claymore Road,229540,"MON-FRI Before 5/6 PM
$5.00 for 1st hr, $1.50/30min from 7am to 5pm 

MON-FRI After 5/6 PM
$5.50/entry from 5pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$5.50/entry from 7am to 7am the following day 

REMARKS
Charges same as weekdays, Season Parking At $192.60/mth 

"
138,Enabling Village,20 Lengkok Bahru,159053,"MON-FRI Before 5/6 PM
$0.60/30min from 8am to 6pm 

MON-FRI After 5/6 PM
$0.60/30min from 6pm to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
1st hr parking for free (1st entry per day) 

"
139,Courtyard by Marriott Singapore Novena,99 Irrawaddy Road,329568,"MON-FRI Before 5/6 PM
$2.00/hr from 7am to 5.59pm 

MON-FRI After 5/6 PM
$2.50/entry from 6pm to 6.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
140,Tuas Vista,2 Tuas South Avenue 2,637601,"MON-FRI Before 5/6 PM
$0.023/min from 7am to 7pm 

MON-FRI After 5/6 PM
$0.023/min from 7pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
Free parking from 11.30am to 1.30pm 

"
141,The Sports Stage,200 Pandan Gardens,609336,"MON-FRI Before 5/6 PM
$1.40 for 1st hr, $0.60 for next subsequent 30min from 7am to 7pm 

MON-FRI After 5/6 PM
$1.40 for 1st hr, $0.60 for next subsequent 30min from 7pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
142,Hokkien KongHuay,794 Upper Bukit Timah Road,678133,"MON-FRI Before 5/6 PM
$0.53/30min for 1st hr, $0.53 for next subsequent 15min from 6am to 7pm 

MON-FRI After 5/6 PM
$0.53/30min for 1st hr, $0.53 for next subsequent 15min from 7pm to 12am, $2.14/30min from 12am to 6am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
143,18 New Industrial Road,18 New Industrial Road,536205,"MON-FRI Before 5/6 PM
$1.28 for 1st hr, $0.64 for next subsequent 30min from 7am to 6pm 

MON-FRI After 5/6 PM
$2.00/entry from 6pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$2.00/entry from 7am to 7am the following day 

"
144,Home United Youth Football Academy (HYFA),8 Mattar Road,387727,"MON-FRI Before 5/6 PM
$1.28 for 1st hr, $0.64 for next subsequent 30min from 8am to 6pm 

MON-FRI After 5/6 PM
$2.68/entry from 6pm to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
145,Suzue PSA Cold Storage,43 Keppel Road,099418,"MON-FRI Before 5/6 PM
$1.50 for 1st hr, $1.00 for next subsequent 30min from 7am to 5pm 

MON-FRI After 5/6 PM
$1.50 for 1st hr, $1.00 for next subsequent 30min from 5pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
146,Cambridge Industrial Trust,2 Jalan Kilang Barat,159346,"MON-FRI Before 5/6 PM
$1.20 for 1st hr, $0.60 for next subsequent 30min from 7am to 5pm  

MON-FRI After 5/6 PM
$1.20 for 1st hr, $0.60 for next subsequent 30min from 5pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
147,Shriro House,11 Chang Charn Road,159640,"MON-FRI Before 5/6 PM
$1.20 for 1st hr, $0.60 for next subsequent 30min from 7am to 5pm  

MON-FRI After 5/6 PM
$1.20 for 1st hr, $0.60 for next subsequent 30min from 5pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
148,Anglican Care Centre (Simei),10 Simei Street 3,529897,"MON-FRI Before 5/6 PM
$1.28 for 1st hr, $0.75 for next subsequent 30min from 7am to 5pm 

MON-FRI After 5/6 PM
$1.28 for 1st hr, $0.75 for next subsequent 30min from 5pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
149,Mediapolis @ One-North,31 Media Circle,138564,"MON-FRI Before 5/6 PM
(Mon-Thurs) $0.60/30min from 7am to 7pm 

MON-FRI After 5/6 PM
(Mon-Thurs) $0.60/30min from 7pm to 7am the following day 

SAT
(Fri-Sat) $0.60/30min from 10pm to 6pm the following day, $4.00/entry from 6pm to 10pm 

SUN / PUBLIC HOLIDAYS
$0.60/30min from 10pm to 6pm the following day, $4.00/entry from 6pm to 10pm 

REMARKS
15min grace period 

"
150,Sin Ming AutoCity,160 Sin Ming Drive,575722,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 10.30pm 

MON-FRI After 5/6 PM
$0.60/30min from 10.30pm to 7am the following day capped at $5.00 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Free parking from 7am to 10.30pm, $0.60/30min from 10.30pm to 7am the following day capped at $5.00 

"
151,The Punggol Settlement,3 Punggol Point Road,828694,"MON-FRI Before 5/6 PM
(Mon-Thurs) $1.00 for 1st hr, $0.50/30min from 7am to 5pm 

MON-FRI After 5/6 PM
(Mon-Thurs) $1.50 for 1st hr, $0.75/30min from 5pm to 12am, $3.00/entry from 12am to 7am the following day 

SAT
(Fri-Sat) $1.50 for 1st hr, $0.75/30min from 7am to 5pm, $2.00 for 1st hr, $1.00/30min from 5pm to 12am, $4.00/entry from 12am to 7am the following day 

SUN / PUBLIC HOLIDAYS
$1.50 for 1st hr, $0.75/30min from 7am to 5pm, $2.00 for 1st hr, $1.00/30min from 5pm to 12am, $4.00/entry from 12am to 7am the following day 

REMARKS
10min grace period 

"
152,Bay Hotel Singapore,50 Telok Blangah Road,098828,"MON-FRI Before 5/6 PM
$1.50/30min from 7am to 12pm, $0.70/30min from 12pm to 3pm, $1.50/30min from 3pm to 6pm 

MON-FRI After 5/6 PM
$5/entry from 6pm to 3am the following day, $1.50/30min from 3am to 7am 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
Maximum charge of $26/24hr  

"
153,Esplanade - Theatres on the Bay,1 Esplanade Drive,038981,"MON-FRI Before 5/6 PM
$2.20/hr from 6am to 6pm 

MON-FRI After 5/6 PM
$6.50/entry from 6pm to 10pm, $2.20/entry from 10pm to 6am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
No grace period 

"
154,Marsiling Mall,4 Woodlands Street 12,738623,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 5pm 

MON-FRI After 5/6 PM
$0.60/30min from 5pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min grace period 

"
155,Hotel Boss,500 Jalan Sultan,199020,"MON-FRI Before 5/6 PM
$1.00/30min from 7am to 5pm 

MON-FRI After 5/6 PM
$1.00/30min from 5pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
156,Ark @ Gambas,7 Gambas Crescent,757087,"MON-FRI Before 5/6 PM
$0.96/30min from 7am to 10.30pm 

MON-FRI After 5/6 PM
$3.21/entry from 10.30pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$2.14/entry from 7am to 10.30pm, $3.21/entry from 10.31pm to 7am the following day 

REMARKS
10min grace period 

"
157,YOTEL Singapore,366 Orchard Rd,238904,"MON-FRI Before 5/6 PM
$3.00 for 1st hr, $1.50 for next subsequent 30min from 7am to 6pm 

MON-FRI After 5/6 PM
$4.00/entry from 6pm to 7am the following day 

SAT
$3.00 for 1st hr, $1.50 for next subsequent 30min from 7am to 6pm, $4.00/entry from 6pm to 7am the following day 

SUN / PUBLIC HOLIDAYS
$3.00 for 1st hr, $1.50 for next subsequent 30min from 7am to 6pm, $4.00/entry from 6pm to 7am the following day 

REMARKS
10min grace period, Shared carpark with International Building 

"
158,Village Residence Robertson Quay,30 Robertson Quay,238251,"MON-FRI Before 5/6 PM
$1.50/hr or part thereof from 6am to 6pm 

MON-FRI After 5/6 PM
$3.50/entry from 6.01pm to 5.59am the following day 

SAT
$3.50/entry from 6am to 6am the following day 

SUN / PUBLIC HOLIDAYS
$3.50/entry from 6am to 6am the following day 

"
159,Viva Business Park,750 Chai Chee Road,469000,"MON-FRI Before 5/6 PM
$1.50 for 1st hr, $0.40 for next subsequent 15min from 7am to 5.59pm 

MON-FRI After 5/6 PM
$1.50/entry from 6pm to 10.59pm 

SAT
$1.50 for 1st 2hr, $0.40 for next subsequent 15min from 7am to 7am the following day 

SUN / PUBLIC HOLIDAYS
$1.50 for 1st 2hr, $0.40 for next subsequent 15min from 7am to 7am the following day 

"
160,Henderson Industrial Park Blk 213 to 219,213 Henderson Road,159553,"MON-FRI Before 5/6 PM
$1.60/hr from 8am to 5pm 

MON-FRI After 5/6 PM
$3.00/entry from 5pm to 8pm, $3.00/entry from 8pm to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$3.00/entry from 8am to 8pm, $3.00/entry from 8pm to 8am the following day 

"
161,9@Tagore,9 Tagore Lane,787472,"MON-FRI Before 5/6 PM
$0.75/30min from 7am to 5.59pm 

MON-FRI After 5/6 PM
$1.50/entry from 6pm to 9.59pm, $3.00/entry from 10pm to 6.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$3.00/entry from 7am to 6.59am the following day 

REMARKS
15min grace period 

"
162,Hor Kew Business Centre,66 Kallang Pudding Road,349324,"MON-FRI Before 5/6 PM
$0.80/30min from 7am to 5pm  

MON-FRI After 5/6 PM
$0.80/30min from 5pm to 10pm  

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$0.80/30min from 9am to 6pm 

REMARKS
10min grace period, Parking between 10pm to 7am the following day hourly charging applies with minimum charge of $7.00 

"
163,The Clift,21 Mccallum Street,069047,"MON-FRI Before 5/6 PM
$1.50/30min from 7am to 5pm 

MON-FRI After 5/6 PM
$3.00/entry from 5pm to 10pm, $5.00/entry from 10pm to 7am the following day 

SAT
$1.50/30min from 7am to 5pm, $3.00/entry from 5pm to 10pm, $5.00/entry from 10pm to 7am the following day 

SUN / PUBLIC HOLIDAYS
$3.00/entry from 7am to 10pm, $5.00/entry from 10pm to 7am the following day 

"
164,Citimac Industrial Complex,605 Macpherson Road,368239,"MON-FRI Before 5/6 PM
$0.50/30min from 8am to 5pm 

MON-FRI After 5/6 PM
$0.50/30min from 5pm to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
165,Ark @ KB,68 Kaki Bukit Avenue 6,417896,"MON-FRI Before 5/6 PM
$0.60/30min from 7.01am to 10.30pm 

MON-FRI After 5/6 PM
$4.00/entry from 10.31pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$4.00/entry from 7am to 7am the following day 

"
166,Vantage Automotive Centre,305 Alexandra Road,159942,"MON-FRI Before 5/6 PM
$1.30/30min from 8am to 5pm 

MON-FRI After 5/6 PM
$1.30/30min from 5pm to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
167,Robinson Point,39 Robinson Road,068911,"MON-FRI Before 5/6 PM
$4.82/hr from 8am to 5.59pm 

MON-FRI After 5/6 PM
$5.35/entry from 6pm to 7.59am the following day 

SAT
$5.35/entry from 8am to 7.59am the following day 

SUN / PUBLIC HOLIDAYS
$5.35/entry from 8am to 7.59am the following day 

"
168,Sultan Link,57 Mohamed Sultan Road,238997,"MON-FRI Before 5/6 PM
$2.00 for 1st hr, $1.00 for next subsequent 30min from 7am to 6pm 

MON-FRI After 5/6 PM
$3.00/entry from 6pm to 3am the following day, $20.00/entry from 3am to 7am 

SAT
$2.00 for 1st hr, $1.00 for next subsequent 30min from 7am to 12pm, $3.00/entry from 12pm to 3am the following day, $20.00/entry from 3am to 7am 

SUN / PUBLIC HOLIDAYS
$3.00/entry from 7am to 7am the following day 

"
169,NTFGH - Ng Teng Fong General Hospital,1 Jurong East Street 21,609606,"MON-FRI Before 5/6 PM
$0.03/min from 7am to 7pm 

MON-FRI After 5/6 PM
$0.03/min from 7pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min grace period 

"
170,Hillion Mall,17 Petir Road,678278,"MON-FRI Before 5/6 PM
$1.38 for 1st hr, $0.46 for next subsequent 15min or part thereof from 11.01pm to 5.59pm 

MON-FRI After 5/6 PM
$2.77/entry from 6pm to 11pm 

SAT
$2.77 for 1st 2hr, $0.46 for next subsequent 15min or part thereof from 11.01pm to 5.59pm the following day, $2.77/entry from 6pm to 11pm 

SUN / PUBLIC HOLIDAYS
$2.77 for 1st 2hr, $0.46 for next subsequent 15min or part thereof from 11.01pm to 5.59pm the following day, $2.77/entry from 6pm to 11pm 

REMARKS
7:00 am to 10:00 am : Grace period of 30 minutes
10:01 am to 6:59 am : Grace period of 10 minutes

Grace Period of 10 minutes only for Sunday/PH 

"
171,Orchard Hotel Singapore,442 Orchard Road,238879,"MON-FRI Before 5/6 PM
$3.50 for 1st hr, $1.50 for next subsequent 30min from 7am to 6pm 

MON-FRI After 5/6 PM
$5.50/entry from 6pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$5.50/entry from 7am to 7am the following day 

"
172,Wave9,71 Woodlands Industrial Park E9,757048,"MON-FRI Before 5/6 PM
$1.20/hr from 7am to 7pm 

MON-FRI After 5/6 PM
Free Parking from 7pm to 12midnight, $15/entry from 12midnight to 7am the following day 

SAT
Free Parking from 7am to 12midnight, $15/entry from 12midnight to 7am the following day 

SUN / PUBLIC HOLIDAYS
Free Parking from 7am to 12midnight, $15/entry from 12midnight to 7am the following day 

REMARKS
1st hour complimentary parking 

"
173,Changi Airport Terminal 4,10 Airport Boulevard,819665,"MON-FRI Before 5/6 PM
$0.04/min from 12midnight to 12midnight the following day 

MON-FRI After 5/6 PM
$0.04/min from 12midnight to 12midnight the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min Grace Period 

"
174,Katong Point,451 Joo Chiat Road,427664,"MON-FRI Before 5/6 PM
$1.50/hr from 8am to 9.59pm 

MON-FRI After 5/6 PM
$2.50/entry from 10pm to 7.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
175,Gallop Stable (Horsecity),100 Turf Club Road,287992,"MON-FRI Before 5/6 PM
$1.00/30min from 7am to 6.59pm  

MON-FRI After 5/6 PM
$3.50/entry from 7pm to 6.59am 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
176,Heartbeat @ Bedok,11 Bedok North Street 1,469662,"MON-FRI Before 5/6 PM
$0.02/min from 7am to 10.30pm, free parking during 12pm to 2pm (Mon to Fri) 

MON-FRI After 5/6 PM
$0.02/min from 10.30pm to 7am the following day (capped at $5.00) 

SAT
$0.02/min from 7am to 10.30pm, $0.02/min from 10.30pm to 7am the following day (capped at $5.00) 

SUN / PUBLIC HOLIDAYS
$0.02/min from 7am to 10.30pm, $0.02/min from 10.30pm to 7am the following day (capped at $5.00) 

"
177,Mountbatten Square,229 Mountbatten Road,398007,"MON-FRI Before 5/6 PM
$1.20/hr from 6am to 5.59pm 

MON-FRI After 5/6 PM
$3.00/entry from 6pm to 5.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
Season parking at $80.00/mth 

"
178,Orchard Credit Building,1 Chang Charn Road,159630,"MON-FRI Before 5/6 PM
$2.00 for 1st hr, $1.00 for next subsequent 30min from 7am to 6.59pm 

MON-FRI After 5/6 PM
$2.00 for 1st hr, $1.00 for next subsequent 30min from 7pm to 6.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min grace period 

"
179,The Alexcier,237 Alexandra Road,159929,"MON-FRI Before 5/6 PM
$2.00/hr from 10.01pm to 6pm the following day 

MON-FRI After 5/6 PM
$3.00/entry from 6.01pm to 10pm 

SAT
$1.50/hr from 10.01pm to 6pm the following day, $3.00/entry from 6.01pm to 10pm 

SUN / PUBLIC HOLIDAYS
$1.00/hr from 10.01pm to 6pm the following day, $3.00/entry from 6.01pm to 10pm 

REMARKS
10min grace period 

"
180,Orchid Hotel,1 Tras Link,078867,"MON-FRI Before 5/6 PM
$2.00 for 1st 30min, $2.00 for next subsequent 30min from 12am to 6pm 

MON-FRI After 5/6 PM
$3.00/entry from 6pm to 12am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$3.00/entry from 12am to 12am the following day 

"
181,Marina Country Club,11 Northshore Drive S(828670),,"MON-FRI Before 5/6 PM
$1.20 for 1st hr, $2.40 for the 2nd hr, $3.60/hr for parking above 3hr from 5.01am to 5am the following day 

MON-FRI After 5/6 PM
$1.20 for 1st hr, $2.40 for the 2nd hr, $3.60/hr for parking above 3hr from 5.01am to 5am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min grace period, additional $3.21 will be charged on every 24hr block 

"
182,Junction Nine,18 Yishun Avenue 9,,"MON-FRI Before 5/6 PM
$1.20 for 1st hr, $0.80 for next subsequent 30min 

MON-FRI After 5/6 PM
$1.20 for 1st hr, $0.80 for next subsequent 30min 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min grace period 

"
183,Zhongshan Mall,20 Ah Hood Road,329984,"MON-FRI Before 5/6 PM
$1.60 for 1st hr, $0.80 for next subsequent 30min from 6am to 6pm 

MON-FRI After 5/6 PM
$2.20/entry from 6pm to 6am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
Free 2 hours parking coupon with a minimum spend of $50 in mall 

"
184,Singapore Chinese Cultural Centre,1 Straits Boulevard,018906,"MON-FRI Before 5/6 PM
$2.25/30min from 7am to 5pm 

MON-FRI After 5/6 PM
$3.50/entry from 5pm to 7am the following day 

SAT
$3.50/entry for whole day 

SUN / PUBLIC HOLIDAYS
$3.50/entry for whole day 

REMARKS
*Rates above are before GST. 

"
185,CT Hub,2 Kallang Ave,339407,"MON-FRI Before 5/6 PM
$1.80/hr before 7pm 

MON-FRI After 5/6 PM
$2.00/entry after 7pm 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
186,Crowne Plaza Changi Airport,75 Airport Boulevard,819664,"MON-FRI Before 5/6 PM
$2.40/hr from 8am to 5pm 

MON-FRI After 5/6 PM
$2.40/hr from 5pm to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
187,Hilton Garden Inn,3 Belilios Road,219924,"MON-FRI Before 5/6 PM
Complimentary parking for hotel guests only 

MON-FRI After 5/6 PM
Complimentary parking for hotel guests only 

SAT
Complimentary parking for hotel guests only 

SUN / PUBLIC HOLIDAYS
Complimentary parking for hotel guests only 

"
188,The Warehouse Hotel,320 Havelock Road,169628,"MON-FRI Before 5/6 PM
Complimentary parking for hotel guests only 

MON-FRI After 5/6 PM
Complimentary parking for hotel guests only 

SAT
Complimentary parking for hotel guests only 

SUN / PUBLIC HOLIDAYS
Complimentary parking for hotel guests only 

"
189,One15 Marina Club,11 Cove Drive,098497,"MON-FRI Before 5/6 PM
$3.21/entry from 8am to 5pm 

MON-FRI After 5/6 PM
$3.21/entry from 5pm to 8am the following day 

SAT
$3.21/entry from 8am to 8am the following day 

SUN / PUBLIC HOLIDAYS
$3.21/entry from 8am to 8am the following day 

"
190,Sofitel Singapore Sentosa Resort & Spa Hotel,2 Bukit Manis Road,099891,"MON-FRI Before 5/6 PM
Complimentary parking for hotel guests only 

MON-FRI After 5/6 PM
Complimentary parking for hotel guests only 

SAT
Complimentary parking for hotel guests only 

SUN / PUBLIC HOLIDAYS
Complimentary parking for hotel guests only 

"
191,Capri By Fraser,3 Changi,1,"MON-FRI Before 5/6 PM
$0.70/30min from 7.01am to 6pm  

MON-FRI After 5/6 PM
$2.50/entry from 6.01pm to 7am the following day  

SAT
$2.50 for 1st 2hr, $1.20 for next subsequent 30min from 7.01am to 5pm, $2.50/entry from 5.01pm to 7am the following day  

SUN / PUBLIC HOLIDAYS
$2.50 for 1st 2hr, $1.20 for next subsequent 30min from 7.01am to 5pm, $2.50/entry from 5.01pm to 7am the following day  

"
192,Aperia Mall,8/10/12 Kallang Avenue,339509,"MON-FRI Before 5/6 PM
$1.60/hr for 1st 2hr, $1.07 for next subsequent 30min from 6am to 5.59pm 

MON-FRI After 5/6 PM
Free parking from 6.30pm to 9.59pm, $2.50/entry thereafter to 5.59am the following day 

SAT
Free parking for 1st 3hr, $2.50/entry thereafter to 5.59am the following day 

SUN / PUBLIC HOLIDAYS
Free parking for 1st 3hr, $2.50/entry thereafter to 5.59am the following day 

REMARKS
10min grace period, whole day max $15.00 

"
193,Galaxis,1 & 3 Fusionopolis Place,138577,"MON-FRI Before 5/6 PM
$2.14 for 1st hr, $1.07/30min or part thereof from 6am to 6pm 

MON-FRI After 5/6 PM
$2.14 for 1st hr, $1.07/entry from 6pm to 6am the following day 

SAT
$1.07/entry 

SUN / PUBLIC HOLIDAYS
$1.07/entry 

REMARKS
10min grace period 

"
194,City Industrial Building,71 Tannery Lane,347807,"MON-FRI Before 5/6 PM
$1.44 for 1st hr, $0.74 for subsequent 30min from 7am to 5.59pm 

MON-FRI After 5/6 PM
$2.56/entry from 6pm to 6.59am the following day 

SAT
Charges same as Weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as Weekdays 

REMARKS
10min grace period 

"
195,Cideco Industrial Complex,50 Genting Lane S(349558),,"MON-FRI Before 5/6 PM
$1.44 for 1st hr, $0.74 for subsequent 30min from 7am to 5.59pm 

MON-FRI After 5/6 PM
$2.56/entry from 6pm to 6.59am the following day 

SAT
Charges same as Weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as Weekdays 

REMARKS
10min grace period 

"
196,Our Tampines Hub,1 Tampines Walk,528523,"MON-FRI Before 5/6 PM
$0.02/min from 12am to 5.59pm 

MON-FRI After 5/6 PM
$2.40/entry from 6pm to 11.59pm 

SAT
$0.02/min from 12am to 5.59pm, $2.40/entry from 6pm to 11.59pm 

SUN / PUBLIC HOLIDAYS
$0.02/min from 12am to 5.59pm, $2.40/entry from 6pm to 11.59pm 

REMARKS
10min grace period 

"
197,100 Pasir Panjang,100 Pasir Panjang Road S(118518),,"MON-FRI Before 5/6 PM
$1.80 for 1st hr, $0.80 for next subsequent 30min or part thereof from 7am to 7pm 

MON-FRI After 5/6 PM
$3.50/entry from 7pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$3.50/entry from 7pm to 7am the following day 

"
198,Studio M Hotel,3 Nanson Road S(238910),,"MON-FRI Before 5/6 PM
$6.00 for 1st hr, $4.50 for next subsequent hour 

MON-FRI After 5/6 PM
$6.00 for 1st hr, $4.50 for next subsequent hour 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
15min grace period 

"
199,UB. One,81 Ubi Ave 4,,"MON-FRI Before 5/6 PM
$0.70/30min or part thereof from 7.01am to 5.00pm 

MON-FRI After 5/6 PM
$2.15 per entry from 5.01pm to 7.00am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$3.25 per entry from 7.01am to 7.00am the following day 

REMARKS
10min grace period 

"
200,Genting Hotel Jurong,2 Town Hall Link,608516,"MON-FRI Before 5/6 PM
$3.00/hr from 12midnight to 11.59pm from Mon to Thurs 

MON-FRI After 5/6 PM
$3.00/hr from 12midnight to 11.59pm from Mon to Thurs 

SAT
$4.00/hr from 12midnight to 11.59pm the from Fri to Sun 

SUN / PUBLIC HOLIDAYS
$4.00/hr from 12midnight to 11.59pm the from Fri to Sun 

REMARKS
Maximum charge of $25 per 24hr block 

"
201,Regent Hotel (Cuscaden Parking),1 Cuscaden Road,249715,"MON-FRI Before 5/6 PM
$7.00 for 1st hr, $3.50 for next subsequent 30min from 7am to 6pm 

MON-FRI After 5/6 PM
$7.00 for 1st hr, $3.50 for next subsequent 30min from 6pm to 7am the following day 

SAT


Charges same as weekdays  
  

SUN / PUBLIC HOLIDAYS


Charges same as weekdays  
  

"
202,National Heart Centre Singapore,5 Hospital Drive,169609,"MON-FRI Before 5/6 PM
$0.036/min from 7am to 9.59pm 

MON-FRI After 5/6 PM
$2.14/entry from 10pm to 6.59am the following day 

SAT
$0.036/min from 7am to 9.59pm, $2.14/entry from 10pm to 6.59am the following day 

SUN / PUBLIC HOLIDAYS
$0.018/min from 7am to 9.59pm, $2.14/entry from 10pm to 6.59am the following day 

"
203,18 Tai Seng,18 Tai Seng Street,539775,"MON-FRI Before 5/6 PM
$1.00/30min from 6am to 5pm 

MON-FRI After 5/6 PM
Free entry from 5pm to 12midnight, $3.00/hr from 12midnight to 6am the following day, capped at $15.00 

SAT
Free entry from 6am to 12midnight, $3.00/hr from 12midnight to 6am the following day, capped at $15.00 

SUN / PUBLIC HOLIDAYS
Free entry from 6am to 12midnight, $3.00/hr from 12midnight to 6am the following day, capped at $15.00 

"
204,Guoco Tower,1 Wallich Street,078883,"MON-FRI Before 5/6 PM
$4.00/30min from 7am to 5.59pm for Carpark A, $1.50/30min from 7am to 5.59pm for Carpark B, capped at $18 

MON-FRI After 5/6 PM
$2.50/entry from 6pm to 6.59am the following day for Carpark A and B 

SAT
$2.50/entry from 7am to 6.59am the following day 

SUN / PUBLIC HOLIDAYS
$2.50/entry from 7am to 6.59am the following day 

REMARKS
15min grace period for Carpark B 

"
205,Mercure Singapore Bugis,112 Middle Road,188973,"MON-FRI Before 5/6 PM
$5.25 for 1st hr, $2.25 for subsequent 30min from 8am to 5pm 

MON-FRI After 5/6 PM
$5.25 for 1st hr, $2.14 for subsequent 30min from 5pm to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
206,Holiday Inn Express Singapore Katong,86 East Coast Road,428788,"MON-FRI Before 5/6 PM
$0.48 for 1st hr, $0.12/15min subsequently from 6am to 10am, $0.96 for 1st hr, $0.24/15min subsequently from 10am to 6pm 

MON-FRI After 5/6 PM
$1.00 for 1st hr, $0.25/15min subsequently from 6pm to 10pm, $0.32 for 1st hr, $0.08/15min subsequently from 10pm to 6am the following day 

SAT
$0.54 for 1st hr, $0.16/15min subsequently from 6am to 10am, $1.28 for 1st hr, $0.65/15min subsequently from 10am to 9pm, $0.54 for 1st hr, $0.16/15min subsequently from 9pm to 6am 

SUN / PUBLIC HOLIDAYS
$0.54 for 1st hr, $0.16/15min subsequently from 6am to 10am, $1.28 for 1st hr, $0.65/15min subsequently from 10am to 9pm, $0.54 for 1st hr, $0.16/15min subsequently from 9pm to 6am 

REMARKS
Free parking from 12pm to 2pm except on PH 

"
